Id,Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Seed per Pound
22864,Spring,Contracting Only,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,Moderate,1059100
25363,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,High,No,None,
23137,Mid Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,Yes,No,No,Slow,Medium,No,Slow,454087
23194,Late Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,400000
23267,Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,None,
23276,Early Summer,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Slow,
23359,Mid Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,110000
26541,Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,
26611,Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,4535925
26634,Early Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,
26651,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Slow,High,No,None,45359242
26724,Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,
26783,Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,
26799,Late Spring,Routinely Available,Low,Summer,Summer,Yes,Yes,No,No,No,No,No,No,No,No,Slow,Low,No,None,
23605,Indeterminate,Routinely Available,High,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,Medium,No,Moderate,498454
23608,Late Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,No,No,No,No,Slow,Medium,No,Moderate,
23997,Fall,Routinely Available,High,Fall,Winter,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,,1400000
24042,Late Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,Moderate,750000
24262,Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,392000
24345,Late Summer,No Known Source,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,796636
24393,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,259000
24659,Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,537920
24710,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Slow,High,No,Rapid,
25028,Mid Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,Yes,No,No,Slow,Low,No,Rapid,1389840
25340,,,,,,,,,,,,,,,,,,,,
25478,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,255000
19652,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Moderate,216435
19669,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Rapid,36000000
19732,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,11339811
19736,Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,None,36000000
19768,Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,
25695,Mid Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,174720
26962,Indeterminate,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,High,No,Rapid,
25851,Summer,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,1200000
26132,Late Summer,Contracting Only,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,465000
26161,Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,7500
27001,Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Rapid,
26483,Late Summer,Routinely Available,High,Fall,Winter,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,Moderate,210000
31206,Early Summer,Routinely Available,Medium,Summer,Summer,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,2852012
16268,Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,Slow,High,No,Moderate,
16271,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,No,No,Yes,No,None,Low,No,Moderate,498454
72484,,,,,,,,,,,,,,,,,,,,
72494,,,,,,,,,,,,,,,,,,,,
31339,,,,,,,,,,,,,,,,,,,,
15744,Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,825000
27903,,,,,,,,,,,,,,,,,,,,
43228,,,,,,,,,,,,,,,,,,,,
72538,,,,,,,,,,,,,,,,,,,,
72594,,,,,,,,,,,,,,,,,,,,
31762,Late Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Slow,6600000
31814,,,,,,,,,,,,,,,,,,,,
31911,,,,,,,,,,,,,,,,,,,,
72621,,,,,,,,,,,,,,,,,,,,
