Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
Early Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Slow,75152,12200
Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70074,491
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,33849,1500000
Early Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Slow,70081,549
,,,,,,,,,,,,,,,,,,,16911,
Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,75171,4480
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,75174,12000
Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,33940,221000
,,,,,,,,,,,,,,,,,,,28406,
Late Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,75196,13000
Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,33978,3222222
,,,,,,,,,,,,,,,,,,,33987,
,,,,,,,,,,,,,,,,,,,33992,
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,89092,5000
,,,,,,,,,,,,,,,,,,,89186,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,89404,29800
Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,89605,20000
,,,,,,,,,,,,,,,,,,,45660,
Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Slow,Low,No,Rapid,18590,3489173
Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,High,No,None,18714,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Slow,18835,
Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,21508,450000
,,,,,,,,,,,,,,,,,,,21519,
,,,,,,,,,,,,,,,,,,,21520,
Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,21602,668000
,,,,,,,,,,,,,,,,,,,21603,
Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,79106,200000
,,,,,,,,,,,,,,,,,,,13296,
,,,,,,,,,,,,,,,,,,,73087,
Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Rapid,84380,
Early Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,21710,350000
Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,21712,210000
,,,,,,,,,,,,,,,,,,,71832,
,,,,,,,,,,,,,,,,,,,71836,
Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,42692,
,,,,,,,,,,,,,,,,,,,27319,
Late Spring,Routinely Available,High,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,Moderate,64536,1200
,,,,,,,,,,,,,,,,,,,67061,
,,,,,,,,,,,,,,,,,,,34298,
