Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
Early Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,41140,562480
Summer,Routinely Available,Medium,Summer,Fall,No,No,Yes,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,46862,259428
,,,,,,,,,,,,,,,,,,,73609,
Summer,Routinely Available,High,Summer,Summer,No,No,Yes,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,14837,1325000
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,15299,345600
,,,,,,,,,,,,,,,,,,,14854,
,,,,,,,,,,,,,,,,,,,73633,
,,,,,,,,,,,,,,,,,,,73640,
,,,,,,,,,,,,,,,,,,,73649,
Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,66729,4765
,,,,,,,,,,,,,,,,,,,92518,
,,,,,,,,,,,,,,,,,,,73664,
Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,26161,7500
,,,,,,,,,,,,,,,,,,,46917,
,,,,,,,,,,,,,,,,,,,29208,
Late Summer,Contracting Only,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,26132,465000
,,,,,,,,,,,,,,,,,,,29217,
,,,,,,,,,,,,,,,,,,,29251,
,,,,,,,,,,,,,,,,,,,29259,
Spring,No Known Source,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,17027,1750000
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,15604,187200
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Rapid,27001,
Early Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Medium,No,Slow,70987,70900
Late Winter,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,71006,41000
Mid Summer,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,15946,135000
Early Summer,Routinely Available,,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,65417,1972000
Early Summer,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,65446,975000
Mid Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Slow,Low,No,Moderate,52579,300000
,,,,,,,,,,,,,,,,,,,41704,
,,,,,,,,,,,,,,,,,,,47330,
Late Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,41717,300000
Indeterminate,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,42933,13100
,,,,,,,,,,,,,,,,,,,69604,
,,,,,,,,,,,,,,,,,,,42949,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,42980,11500
,,,,,,,,,,,,,,,,,,,87511,
,,,,,,,,,,,,,,,,,,,42987,
Early Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,42988,27600
,,,,,,,,,,,,,,,,,,,69719,
Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,43016,4800
Early Spring,No Known Source,Low,Spring,Summer,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Slow,Low,No,Slow,69760,
Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,87526,14500
Mid Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,Yes,Yes,No,Yes,No,Slow,Medium,No,Slow,69816,
,,,,,,,,,,,,,,,,,,,69824,
Late Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,87550,14400
,,,,,,,,,,,,,,,,,,,91870,
,,,,,,,,,,,,,,,,,,,73676,
,,,,,,,,,,,,,,,,,,,27210,
,,,,,,,,,,,,,,,,,,,74665,
Late Summer,Routinely Available,High,Fall,Winter,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,Moderate,26483,210000
