sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter
Muhlenbergia mexicana,1402,"satin,hairy wirestem,Mexican muhly grass",MUME2,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,1.5,2.5,1.5,2.5,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,True,24042,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Green,False,Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Moderate,3.0,False,False,Short,False,None,False,Semi-Erect,None,Medium,,False,False,True,Medium,Medium,False,Low,Medium,High,100,None,Medium,7.5,5.5,,,50,20,8,None,Intermediate,-33,Late Summer,Routinely Available,Low,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Low,False,Moderate,750000,True,True,True,False
Panicum dichotomiflorum,1420,"Spreading,fall panicgrass",PADI,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,18.0,48.0,,,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,24262,Monocot,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,High,False,False,False,False,High,,,Slow,None,False,False,False,Green,False,Green,Porous,Porous,Fine,Yellow,False,Bunch,Rapid,3.3,False,False,,False,None,False,Semi-Erect,None,,,True,True,True,High,High,False,None,Low,None,100,None,High,7.0,4.8,,,65,20,6,Medium,Intolerant,-43,Summer,Routinely Available,High,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Medium,False,None,392000,False,True,True,False
Coleataenia stipitata,1421,"long leaf,redtop panicgrass",PARI4,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.0,4.0,2.0,4,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,24345,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,Medium,,,Slow,None,False,False,False,Green,False,Green,Dense,Dense,Medium,Brown,False,Bunch,Moderate,3.3,False,False,Long,False,None,False,Erect,None,,,False,True,True,High,Medium,False,Low,Low,High,130,None,High,7.5,5.0,19360,3450,64,32,6,Low,Intolerant,-33,Late Summer,No Known Source,High,Fall,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Medium,False,None,796636,False,True,False,False
Panicum virgatum,1422,switch grass,PAVI2,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,True,True,False,3.0,5.0,24.0,36,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,False,24393,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Slow,None,False,False,False,Yellow,False,Green,Dense,Porous,Medium,Brown,False,Rhizomatous,Rapid,6.0,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Medium,Low,True,Medium,Medium,High,90,None,Medium,8.0,4.5,,,60,30,16,Medium,Intolerant,-43,Mid Summer,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,259000,False,True,False,False
Phalaris arundinacea,1435,"reed canarygrass,ribbon grass",PHAR3,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,24659,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Medium,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,False,Rhizomatous,Rapid,6.0,False,False,Long,True,None,False,Erect,Slight,Medium,,True,True,True,High,Medium,False,Medium,High,Medium,160,None,High,8.2,5.5,4800,2700,65,35,14,Medium,Intolerant,-38,Late Spring,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,False,True,False,Slow,Medium,False,Rapid,537920,True,True,True,False
Phragmites australis,1447,common reed,PHAU7,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,4.0,16.0,,,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,24710,Monocot,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Moderate,None,False,False,False,White,False,Green,Dense,Moderate,Coarse,White,True,Rhizomatous,Rapid,13.0,False,False,Long,False,Low,False,Erect,None,High,,True,True,True,High,Medium,False,Low,Medium,High,110,Low,Medium,8.7,4.5,4800,3450,60,12,20,High,Intolerant,-38,Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,False,False,True,False,Slow,High,False,Rapid,,True,False,False,False
Poa pratensis,1458,Kentucky bluegrass,POPR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,25028,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,High,Medium,,Slow,None,False,False,False,Yellow,False,Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Slow,2.0,False,False,Moderate,True,None,False,Erect,None,Low,,True,True,True,None,Low,False,Medium,Medium,None,90,None,Medium,8.4,5.8,43560,43560,65,30,10,Low,Intolerant,-43,Mid Spring,Routinely Available,High,Spring,Summer,False,False,False,False,False,False,True,True,False,False,Slow,Low,False,Rapid,1389840,True,True,True,False
Saccharum alopecuroides,1525,"silver,wooley plumegrass",SAAL21,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,3.0,10.0,3.0,6,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,25340,Monocot,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Schizachyrium scoparium,1540,little bluestem,SCSC,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,2.0,3.0,1.5,2`,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,25478,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Green,Moderate,Porous,Medium,Brown,False,Bunch,Moderate,3.5,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,None,High,False,High,Low,Medium,95,None,Low,8.4,5.6,,,45,18,14,None,Intolerant,-38,Summer,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,None,255000,False,True,True,False
Schoenoplectus pungens ,1541,common three square,SCPUP5,True,True,False,False,,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,,,,,,1.5,4.0,,,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,19652,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,True,Blue,False,Dark Green,Dense,Moderate,Coarse,Brown,False,Rhizomatous,Moderate,4.9,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,High,Medium,False,Low,Medium,Medium,120,None,High,7.5,3.7,4800,3450,60,12,14,Medium,Intolerant,-38,Late Spring,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,False,False,True,False,Moderate,Medium,False,Moderate,216435,False,True,False,False
Schoenoplectus tabernaemontani,1542,"great,softstem bulrush",SCTA2,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,,,,,,,,,,,,4.0,8.0,,,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,19669,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,False,Red,False,Green,Dense,Porous,Coarse,Green,False,Rhizomatous,Rapid,9.0,False,False,Long,False,None,False,Erect,None,High,,True,True,True,High,Medium,False,None,Low,High,80,None,High,7.5,5.4,1700,1100,55,18,16,Low,Intolerant,-38,Late Spring,Routinely Available,Low,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Low,False,Rapid,36000000,True,True,True,False
Scirpus atrovirens,1543,dark green bulrush,SCAT2,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4.0,5.0,3.0,4,False,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,19732,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,False,Brown,False,Dark Green,Moderate,Porous,Coarse,Brown,False,Bunch,Moderate,5.9,False,False,Long,False,None,False,Erect,None,,,False,True,True,Medium,Medium,False,Low,Medium,Medium,180,None,Medium,8.0,4.0,4800,3450,60,16,12,None,Intolerant,-53,Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,True,False,True,False,Moderate,Medium,False,None,11339811,True,False,False,False
Scirpus cyperinus,1544,woolgrass bulrush,SCCY,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,19736,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,False,Green,False,Green,Moderate,Porous,Coarse,Yellow,True,Bunch,Moderate,4.9,False,False,Long,False,None,False,Erect,None,,,True,True,True,Medium,Medium,False,Low,Medium,Medium,110,None,High,7.2,4.8,4800,3450,60,40,12,None,Intermediate,-33,Late Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,True,False,True,False,Rapid,Medium,False,None,36000000,True,False,False,False
Scirpus pendulus,1545,"nodding,rufous,reddish bulrush",SCPE4,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,2.0,3.5,,,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,False,19768,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,,,Slow,None,False,False,False,Red,False,Green,Moderate,Porous,Medium,Brown,False,Rhizomatous,Moderate,4.0,False,False,Long,False,None,False,Erect,None,High,,True,True,True,High,Low,True,None,Low,High,80,None,Medium,7.0,4.9,4800,1700,55,30,10,Low,Intolerant,-38,Mid Spring,Routinely Available,Low,Spring,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Low,False,Slow,,True,True,False,False
Sorghastrum nutans,1568,Indian grass,SONU2,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,3.0,8.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,25695,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Slow,None,False,False,False,Yellow,False,Green,Dense,Porous,Medium,Brown,False,Bunch,Rapid,6.5,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Low,Medium,False,Medium,Low,High,90,None,Medium,8.0,5.0,,,45,18,24,Medium,Intolerant,-8,Mid Spring,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,174720,False,True,True,False
Sparganium americanum,1569,American bur-reed,SPAM,True,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,3.0,7.0,,,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,26962,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,Medium,,,Slow,None,False,False,False,Green,False,Green,Moderate,Porous,Medium,Green,False,Colonizing,Moderate,3.2,False,False,Moderate,False,None,False,Erect,None,,,True,True,True,High,Low,False,None,Low,None,95,None,High,7.3,4.9,4800,3500,50,35,8,None,Intermediate,-33,Indeterminate,Routinely Available,Medium,Spring,Fall,True,False,False,False,False,False,True,False,True,False,Rapid,High,False,Rapid,,True,False,False,False
Sporobolus heterolepis,1572,"prairie,northern dropseed",SPHE,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,1.0,3.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,25851,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Medium,False,False,False,False,Low,Medium,,Slow,None,False,False,False,Yellow,False,Green,Moderate,Porous,Medium,Brown,False,Bunch,Moderate,2.3,False,False,Moderate,False,None,False,Erect,None,Medium,,False,False,True,None,Low,False,Medium,Medium,High,100,None,Low,7.2,6.0,,,35,20,12,None,Intermediate,-38,Summer,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,None,1200000,True,True,False,False
Tridens flavus,1596,"tall redtop,purpletop tridens",TRFL2,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,26132,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,High,Medium,,Rapid,None,False,True,False,Yellow,False,Green,Moderate,Porous,Medium,Brown,True,Bunch,Moderate,2.5,False,False,Short,False,None,False,Erect,None,Low,,True,True,True,Low,Low,False,High,Low,High,150,None,Low,6.5,4.5,,,60,17,10,None,Intolerant,-23,Late Summer,Contracting Only,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Rapid,High,False,None,465000,False,True,False,False
Tripsacum dactyloides,1598,gama grass,TRDA3,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,3.0,6.0,,,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,26161,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,High,High,,Rapid,None,False,False,False,Yellow,False,Green,Dense,Moderate,Medium,Brown,False,Bunch,Rapid,6.0,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Medium,None,True,Medium,High,High,170,None,Medium,7.5,5.7,2700,1700,60,16,20,None,Intolerant,-23,Late Spring,Routinely Available,Low,Summer,Summer,False,False,False,False,False,False,True,False,True,False,Slow,Medium,False,Slow,7500,True,True,False,False
Typha angustifolia,1600,narrow leaf cattail,TYLA,True,False,False,False,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,4.0,8.0,,,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,27001,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Moderate,None,False,False,False,Brown,False,Green,Porous,Porous,Coarse,Brown,True,Rhizomatous,Rapid,5.0,False,False,Moderate,False,None,False,Erect,None,High,,True,True,True,High,Medium,False,None,Medium,High,100,None,High,8.7,5.5,10000,2728,180,14,14,Low,Intermediate,-36,Late Spring,Routinely Available,High,Summer,Fall,True,True,False,False,False,False,True,False,True,False,Moderate,Medium,False,Rapid,,True,True,False,False
Zizaniopsis miliacea,1625,"giant cutgrass,southern wild rice",ZIMI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,26483,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,,,Rapid,None,False,True,False,Yellow,False,Green,Dense,Moderate,Coarse,Yellow,False,Rhizomatous,Rapid,9.0,False,False,Moderate,True,None,False,Erect,None,Medium,,True,True,True,High,Medium,False,None,Medium,Medium,120,None,High,9.0,4.3,,,70,35,16,Low,Intolerant,12,Late Summer,Routinely Available,High,Fall,Winter,False,False,False,True,False,False,True,False,False,False,Moderate,High,False,Moderate,210000,True,True,False,False
Achillea millefolium,1100,common yarrow,ACMI2,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,1.0,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,31206,Dicot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Medium,Low,,Moderate,Low,False,False,False,White,True,Green,Porous,Porous,Fine,Brown,False,Rhizomatous,Moderate,3.0,False,False,Moderate,False,None,False,Erect,Slight,Medium,,False,False,True,None,Medium,False,Medium,Medium,High,120,None,Medium,8.0,6.0,19000,4800,60,8,8,Low,Intermediate,-38,Early Summer,Routinely Available,Medium,Summer,Summer,True,False,False,True,False,False,True,False,True,False,Slow,Low,False,Slow,2852012,True,False,False,False
Acorus americanus,1101,sweet flag,ACAM,True,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,1.0,6.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16268,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,,,,Slow,None,False,False,True,Yellow,False,Green,Dense,Moderate,Medium,Green,False,Rhizomatous,Moderate,3.9,False,False,Moderate,False,None,False,Erect,None,,,False,True,True,High,Low,False,None,Medium,None,120,None,High,7.2,5.6,4800,3450,65,16,10,None,Intolerant,-38,Late Spring,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,False,False,True,False,Slow,High,False,Moderate,,True,True,False,False
Acorus calamus,1102,calamus,ACCA4,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16271,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,Moderate,None,False,False,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,False,Rhizomatous,Moderate,5.0,False,False,Moderate,False,None,False,Semi-Erect,None,High,,True,False,True,High,Medium,False,None,Medium,High,90,None,High,7.2,5.2,4850,2700,60,32,12,Low,Intolerant,-38,Late Spring,Routinely Available,Low,Summer,Summer,False,True,False,True,False,False,False,False,True,False,None,Low,False,Moderate,498454,True,True,False,False
Actaea pachypoda,1103,"doll's eye,white baneberry",ACPA,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,1.0,2.5,,,False,True,True,False,False,False,True,False,True,True,False,True,True,False,False,True,72484,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Actaea racemosa,1104,"black snakeroot,black cohosh,bugbane",ACRAR,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,3.0,7.0,2.0,3.5,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,72494,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Ageratina altissima,1107,white snakeroot,AGAL5,,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,1.5,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,31339,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Alisma subcordatum,1110,American water plantain,ALSU,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,1.0,3.0,,,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,15744,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,False,White,True,Green,Porous,Porous,Medium,Brown,False,Single Crown,Moderate,0.5,False,False,Moderate,False,None,False,Erect,None,Medium,,False,True,True,High,Medium,True,None,Medium,High,90,None,High,7.0,5.0,4800,1700,60,35,8,None,Intolerant,-33,Late Spring,Routinely Available,Medium,Summer,Summer,False,True,False,False,False,False,True,False,True,False,Moderate,Medium,False,None,825000,True,True,False,False
Allium cernuum,1111,nodding onion,ALCE2,True,True,,True,,,,,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,True,True,False,False,False,False,False,8.0,18.0,2.0,4,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,27903,Monocot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Amsonia tabernaemontana,1119,blue star,AMTA2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,1.0,3.0,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,43228,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Anemone lancifolia,1123,mountain thimbleweed or anemone,ANLA,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.1,1.5,,,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,72538,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Anemone quinquefolia,1124,wood anemone,ANQU,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,72594,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
