SciName,keyID,Category,CommonName,Token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,GHSpreadRapidly,GHDeerResistant,GHGroundhogResistant,bloomsJan,bloomsFeb,bloomsMar,bloomsApr,bloomsMay,bloomsJun,bloomsJul,bloomsAug,bloomsSep,bloomsOct,bloomsNov,bloomsDec,PCHeightLow,PCHeightHigh,PCSpreadLow,PCSpreadHigh,PCBloomTime,PCGroundCover,Albemarle_County,Charlottesville_City,Buckingham_County,Culpeper_County,Fluvanna_County,Greene_County,Louisa_County,Madison_County,Nelson_County,Orange_County,Virginia,United_States,Disputed,Fauquier_County,Rappahannock_County
Carex radiata,1653,2.0,Eastern star sedge,CARA8,,True,True,,True,,,,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
Carex rosea,1654,2.0,"curly style star,rosy sedge ",CARO22,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex scoparia,1186,2.0,pointed broom sedge,CASC11,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,18.0,32.0,,,, ,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Carex shortiana,1187,2.0,Short's sedge,CASH2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,18.0,32.0,,,, ,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False
Carex squarrosa,1188,2.0,squarrose sedge,CASQ2,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,15.0,32.0,,,, ,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True
Carex stipata,1189,2.0,"awlfruit,prickly sedge",CAST5,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.5,3.0,,,, ,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True
Carex stricta,1190,2.0,tussock sedge,CAST8,True,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,2.5,4.0,24.0,48,"05,06,07,08", ,True,True,False,True,True,False,True,False,True,True,True,True,False,True,False
Carex swanii,1191,2.0,Swan's sedge,CASW,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,2.0,,,, ,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
Carex torta,1192,2.0,twisted sedge,CATO4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True
Carex tribuloides,1193,2.0,blunt broom sedge,CATR7,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex vulpinoidea,1194,2.0,brown fox sedge,CAVU2,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,18.0,42.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
