sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter,Location,Bloom Months,Active Growth,Light Requirements,Propagation Method,Product Type,Soil Type,Moisture Needs,Soil Adaptation
Ilex verticillata,1339.0,winterberry holly,ILVE,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,6.0,20.0,6.0,8,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,74975,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,True,False,White,False,Green,Dense,Moderate,Coarse,Red,True,Multiple Stem,Moderate,9.0,False,False,Moderate,False,None,True,Climbing,None,High,6.0,False,True,True,Low,Low,True,Low,Medium,Low,140.0,Low,High,7.5,4.5,2700.0,700.0,60.0,35.0,16.0,None,Intermediate,-33.0,Late Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,92000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,May;June;July,Spring;Summer,Partial Sun;Shade,Bare Root;Container;Cuttings;Seed,Nursery Stock,Acid;Clay;Loam,Medium;High,Fine textured soils;Medium textured soils
Itea virginica,1347.0,Virginia sweetspire,ITVI,True,True,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,3.0,8.0,4.0,6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,88116,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,High,,,,None,False,False,False,White,True,Green,Porous,Porous,Medium,Brown,False,Stoloniferous,Slow,10.0,False,False,Short,False,None,False,Erect,None,Medium,10.0,False,True,True,High,Medium,False,Low,Low,Medium,180.0,None,High,7.5,4.0,3450.0,1212.0,60.0,30.0,14.0,None,Tolerant,-24.0,Mid Spring,Routinely Available,Low,Summer,Fall,False,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Slow,,True,False,False,False,Virginia;United States;Fauquier County,April;May;June,Spring,Full;Partial Sun,Bare Root;Container;Seed,,Acid;Clay;Silt;Loam,Medium;High,Fine textured soils;Medium textured soils
Kalmia latifolia,1360.0,mountain laurel,KALA,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,5.0,12.0,5.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,65203,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,False,False,Purple,True,Green,Moderate,Moderate,Coarse,Brown,False,Multiple Stem,Slow,6.0,False,True,Long,False,None,True,Semi-Erect,None,High,5.0,True,False,True,None,None,False,High,Low,Medium,150.0,Low,Low,5.5,4.5,1700.0,300.0,60.0,32.0,24.0,None,Tolerant,-23.0,Mid Spring,Routinely Available,Low,Spring,Summer,False,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,15000000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,May;June,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Cuttings;Seed,Nursery Stock,Acid;Well Drained;Rocky,Medium,Coarse textured soils;Medium textured soils
Leucothoe fontanesiana,1644.0,"drooping laurel or leucothoe,highland or mountain dog hobble",LEFO,,True,True,,True,,,,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,,True,,False,False,False,False,True,True,False,False,False,False,False,False,2.0,6.0,2.0,6,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,65252,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,Low,Low,,,None,False,True,True,White,True,Green,Dense,Dense,Coarse,Brown,True,Multiple Stem,Moderate,4.0,False,True,Moderate,False,None,True,Semi-Erect,None,High,4.0,True,False,True,None,None,False,Medium,Medium,High,175.0,High,Medium,6.0,4.5,2700.0,1700.0,60.0,35.0,16.0,None,Tolerant,-13.0,Mid Spring,Routinely Available,Medium,Summer,Summer,True,True,False,True,False,True,False,False,False,False,None,,False,None,,True,True,False,False,Nelson County;Virginia;United States,May;June,Spring;Summer,Partial Sun;Shade,Bare Root;Container;Cuttings,Nursery Stock,Acid;Clay;Well Drained;Loam;Some Organic Material,Medium,Coarse textured soils;Medium textured soils
Lindera benzoin,1372.0,northern spicebush,LIBE3,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,6.0,12.0,6.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,71391,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Low,False,False,False,False,Medium,Low,,,None,False,False,False,White,True,Green,Moderate,Porous,Coarse,Red,False,Multiple Stem,Slow,12.0,False,False,Long,False,None,True,Erect,None,Medium,12.0,False,True,True,Medium,Medium,True,Low,High,,120.0,Low,Medium,6.0,4.5,2700.0,1200.0,50.0,32.0,18.0,None,Intermediate,-23.0,Mid Spring,Routinely Available,Low,Summer,Fall,False,True,False,True,False,False,True,False,False,False,Slow,Medium,False,None,4500.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,March;April;May,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Seed,,Loam;Some Organic Material,Low;Medium;High,Fine textured soils;Medium textured soils
Morella cerifera,1398.0,wax myrtle,MOCE2,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,6.0,20.0,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,70717,Dicot,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,False,False,White,False,Green,,Moderate,Coarse,Blue,True,Rhizomatous,Moderate,10.0,False,True,Long,False,None,False,Erect,None,High,10.0,True,True,True,Medium,Medium,True,Medium,Low,Low,155.0,High,High,9.1,5.4,1700.0,700.0,60.0,34.0,20.0,Medium,Intolerant,-3.0,Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Moderate,Medium,False,Slow,84000.0,True,True,False,False,Virginia;United States,March;April,Spring;Summer,Full;Partial Sun,Bare Root;Container;Seed,Nursery Stock,,High,Coarse textured soils;Fine textured soils;Medium textured soils
Morella pensylvanica,1399.0,northern bayberry,MOPE6,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,3.0,12.0,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,70735,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,False,False,Yellow,False,Green,Dense,Moderate,Coarse,Blue,True,Colonizing,Slow,7.0,False,False,Long,False,Medium,True,Semi-Erect,None,High,9.0,True,False,True,Low,Medium,True,High,Low,Low,140.0,Low,Medium,7.8,5.5,2722.0,1210.0,65.0,32.0,20.0,Medium,Intolerant,-28.0,Late Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,True,True,False,False,False,Slow,Low,False,Slow,55000.0,True,True,False,False,Virginia;United States,July;August;September,Spring;Summer,Partial Sun,Bare Root;Container;Cuttings;Seed,Nursery Stock,,Medium;High,Coarse textured soils;Medium textured soils
Philadelphus inodorus,1437.0,scentless mock orange,PHIN5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,12.0,5.0,10,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,88445,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Albemarle County;Charlottesville City;Fluvanna County;Nelson County;Virginia;United States,,,Full;Partial Sun,,,Rocky;Adaptable,Medium,
Physocarpus opulifolius,1448.0,"common,easter,Atlantic ninebark",PHOP,True,True,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,5.0,8.0,4.0,6,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,90185,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,Low,,,,None,False,True,False,Purple,False,Green,Dense,Moderate,Medium,Orange,True,Multiple Stem,Slow,10.0,False,False,Moderate,False,None,True,Erect,None,High,10.0,True,True,True,None,Low,True,High,Low,Medium,100.0,Low,Low,6.5,4.5,1200.0,700.0,60.0,35.0,14.0,None,Intolerant,-33.0,Late Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,1045000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,May;June,Spring;Summer,Full;Partial Sun,Bare Root;Container;Cuttings;Seed,Nursery Stock,Acid;Clay;Well Drained;Rocky;Loam;Adaptable,Low;Medium,Coarse textured soils;Fine textured soils;Medium textured soils
Pieris floribunda,1450.0,"mountain fetterbush,mountain Andromeda",PIFL,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,6.0,3.0,4,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,65308,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Nelson County;Virginia;United States,,,Partial Sun,,,Acid;Well Drained,Medium;High,
